address,n_inbound,inbound_wei,n_outbound,outbound_wei
0x27a11f1b573878c53e250415f964e664a6ad5d84,17,347689378572553051304841668,15,347689378572549742469728031
0x02eee560adcfc093dbc332f544063400597a05e0,26,962494990000000000000000,6,962494990000000000000000
0x06fb019e34c3646d436dbf41da13bcf89f456db6,29,6467064520000000000000000,3,5798454954208764940239043
0x2c07416df5c44eca4e94eb1b5555ad2c71e365a5,26,1160000000000000000000000,6,1160000000000000000000000
0xe7e94284f5d08eec635d13ab87c61263692d8932,25,1620923240000000000000000,6,1620923240000000000000000
0xda05a694157279d74e05051bd710fd55fd1856ce,25,1330917610000000000000000,6,1330917610000000000000000
0xe6eb13b978ec4e0f91add3a502b7c088eb9a03f1,25,2221045160000000000000000,6,2221045160000000000000000
0x9708e59ea47d38f0f4ec25779232b9c377c43e67,24,2022942560000000000000000,7,225854399200000000000000
0x8581da41a0e60393466ea2a211762810f953d86b,26,2518960100000000000000000,5,2518960100000000000000000
0x02aacd0dafd2241e3f1087cf6e1464f0b645180b,25,1923644010000000000000000,6,1923644010000000000000000
0xa9e91de5b1038495fe61fbdbf4e5fa403b50d0da,31,3023572150000000000000000,0,0
0x69763227ce56ad274f47fb7f698778ebb27c3134,24,1440029560000000000000000,6,1440029560000000000000000
0x8cb70310b06dc8288dfd94271f8fd5477f023586,24,3094684980000000000000000,6,2102519672041035856573704
0xad6adc65bb88b78d5e8e89ef46d3266dffe8217c,25,2518611290000000000000000,5,2518611290000000000000000
0xcf17ba667a2bd9ac0adbb40b7d8a5829c3d30dee,24,2129455210000000000000000,6,2129455210000000000000000
0x90ae232ce95cf695edaff7e06a6953cbc9ab7b05,27,5056993620000000000000000,3,4763566833360159362549800
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,15,894218564599727698387585,15,894218564599727698387585
0x4823a761a6c5eb2979018b379f3fdefa9c87abf7,22,1536999730000000000000000,8,1536999730000000000000000
0x28692f57f7c06f7c9b87b2b2e102857698d571c7,24,770900000000000000000000,6,770900000000000000000000
0xd7129fdd8d579f212c4d6e0d1c42019800bde774,26,2841755180000000000000000,3,2645520041404780876494023
0xbb496171160862a78a260f922fb4b6e2b04e2b63,23,1905306970000000000000000,6,1905306970000000000000000
0xdd09f513fb3481a9b3965c28312c8ba5fc409262,18,2646198240000000000000000,11,2646198240000000000000000
0xc9890f1f3e37539be51716ffde8646fc8e580d04,29,2547683480000000000000000,0,0
0xf24689d00fef3fc3f9940963751e24d1f80c0a75,22,3228380230000000000000000,6,3228380230000000000000000
0x1aad9400e0a6531c9c613deb5c56a8f58ea34783,22,3852320870000000000000000,6,3852320870000000000000000
0x7f5f9fb41501e3a4d15d36e181e4792448655396,28,4028194040000000000000000,0,0
0xa5605e8ad8e66d3d4cb93ef757a26e875b7188cf,22,2438493290000000000000000,6,2438493290000000000000000
0x92e111bb036639856f444b1e5703a2eade63b824,22,1762874180000000000000000,6,1762874180000000000000000
0xefafeea78d059cc9b6c59317d10bf2e1b0a3c5c1,19,2771626130000000000000000,9,2771626130000000000000000
0xd27c1dbff5ebda3d9a1c151d4f42983a2e73d5d3,28,4895015890000000000000000,0,0
0xe26aba960847de820ce8a2971e2eb34960ffd12e,28,824318190000000000000000,0,0
0x022d499418768c59d44378fb063b529ad31a5e6c,21,4110160250000000000000000,6,4110160250000000000000000
0x546b6598aac7cbf77e14cd25b637709eebb5a754,21,2488894140000000000000000,6,2488894140000000000000000
0x08b6a0ed1da1b77503fcb254b57786905160f15d,27,3558610650000000000000000,0,0
0x51dd63dd06d0ba15b65f18fb96f60f07ebde5b25,21,2167064300000000000000000,6,2167064300000000000000000
0xc31563919da15873aa3dfe82b75383f69cfa6592,21,585000000000000000000000,6,585000000000000000000000
0x926d3a8b652dc69f1a92906a7fbfabef09c1cbfe,21,3123925540000000000000000,6,3123925540000000000000000
0x532fa0ee9575691eccb174d34b13e1c9392399a9,20,635954738448999788600212070,7,635941841381134509067436927
